Atomic,Element,Atomic,Atomic,Atomic
Number,Symbol,"""Lattice const"" [Bohr]",Radius [Bohr],Radius [Å]
1,H,2.00,1.00,0.53
2,He,1.17,0.59,0.31
3,Li,6.31,3.16,1.67
4,Be,4.23,2.12,1.12
5,B,3.29,1.64,0.87
6,C,2.53,1.27,0.67
7,N,2.12,1.06,0.56
8,O,1.81,0.91,0.48
9,F,1.59,0.79,0.42
10,Ne,1.44,0.72,0.38
11,Na,7.18,3.59,1.9
12,Mg,5.48,2.74,1.45
13,Al,4.46,2.23,1.18
14,Si,4.20,2.10,1.11
15,P,3.70,1.85,0.98
16,S,3.33,1.66,0.88
17,Cl,2.99,1.49,0.79
18,Ar,2.68,1.34,0.71
19,K,9.18,4.59,2.43
20,Ca,7.33,3.67,1.94
21,Sc,6.95,3.48,1.84
22,Ti,6.65,3.33,1.76
23,V,6.46,3.23,1.71
24,Cr,6.27,3.14,1.66
25,Mn,6.08,3.04,1.61
26,Fe,5.90,2.95,1.56
27,Co,5.74,2.87,1.52
28,Ni,5.63,2.82,1.49
29,Cu,5.48,2.74,1.45
30,Zn,5.37,2.68,1.42
31,Ga,5.14,2.57,1.36
32,Ge,4.72,2.36,1.25
33,As,4.31,2.15,1.14
34,Se,3.89,1.95,1.03
35,Br,3.55,1.78,0.94
36,Kr,3.33,1.66,0.88
37,Rb,10.02,5.01,2.65
38,Sr,8.28,4.14,2.19
39,Y,8.01,4.01,2.12
40,Zr,7.79,3.89,2.06
41,Nb,7.48,3.74,1.98
42,Mo,7.18,3.59,1.9
43,Tc,6.92,3.46,1.83
44,Ru,6.73,3.36,1.78
45,Rh,6.54,3.27,1.73
46,Pd,6.39,3.19,1.69
47,Ag,6.24,3.12,1.65
48,Cd,6.08,3.04,1.61
49,In,5.90,2.95,1.56
50,Sn,5.48,2.74,1.45
51,Sb,5.03,2.51,1.33
52,Te,4.65,2.32,1.23
53,I,4.35,2.17,1.15
54,Xe,4.08,2.04,1.08
55,Cs,11.26,5.63,2.98
56,Ba,9.56,4.78,2.53
57,La,7.37,3.68,1.95
58,Ce,6.99,3.50,1.85
59,Pr,9.34,4.67,2.47
60,Nd,7.79,3.89,2.06
61,Pm,7.75,3.87,2.05
62,Sm,9.00,4.50,2.38
63,Eu,8.73,4.37,2.31
64,Gd,8.81,4.40,2.33
65,Tb,8.50,4.25,2.25
66,Dy,8.62,4.31,2.28
67,Ho,8.54,4.27,2.26
68,Er,8.54,4.27,2.26
69,Tm,8.39,4.20,2.22
70,Yb,8.39,4.20,2.22
71,Lu,8.20,4.10,2.17
72,Hf,7.86,3.93,2.08
73,Ta,7.56,3.78,2
74,W,7.29,3.65,1.93
75,Re,7.11,3.55,1.88
76,Os,6.99,3.50,1.85
77,Ir,6.80,3.40,1.8
78,Pt,6.69,3.34,1.77
79,Au,6.58,3.29,1.74
80,Hg,6.46,3.23,1.71
81,Tl,5.90,2.95,1.56
82,Pb,5.82,2.91,1.54
83,Bi,5.40,2.70,1.43
84,Po,5.10,2.55,1.35
85,At,4.80,2.40,1.27
86,Rn,4.54,2.27,1.2
87,Fr,,,
88,Ra,,,
89,Ac,7.37,3.68,1.95
90,Th,6.80,3.40,1.8
91,Pa,6.80,3.40,1.8
92,U,6.61,3.31,1.75
93,Np,6.61,3.31,1.75
94,Pu,6.61,3.31,1.75
95,Am,6.61,3.31,1.75
96,Cm,,,
